Date,Forecasted_Close_INR
2026-03-17,885.4659296497902
2026-03-18,885.4834020490638
2026-03-19,885.4852418934603
2026-03-20,885.4854356291545
2026-03-23,885.4854560295314
2026-03-24,885.485458177692
2026-03-25,885.4854584038934
2026-03-26,885.4854584277124
2026-03-27,885.4854584302205
2026-03-30,885.4854584304846
2026-03-31,885.4854584305125
2026-04-01,885.4854584305155
2026-04-02,885.4854584305158
2026-04-03,885.4854584305158
2026-04-06,885.4854584305158
2026-04-07,885.4854584305158
2026-04-08,885.4854584305158
2026-04-09,885.4854584305158
2026-04-10,885.4854584305158
2026-04-13,885.4854584305158
2026-04-14,885.4854584305158
2026-04-15,885.4854584305158
2026-04-16,885.4854584305158
2026-04-17,885.4854584305158
2026-04-20,885.4854584305158
2026-04-21,885.4854584305158
2026-04-22,885.4854584305158
2026-04-23,885.4854584305158
2026-04-24,885.4854584305158
2026-04-27,885.4854584305158
